id,seller,buyer,food,address,phone,sell_at
1,35,87,98,28632 Lukken Alley,81-(303)905-6433,2015-12-06 01:44:52
2,3,55,51,9719 Pennsylvania Avenue,86-(755)662-1744,2015-11-19 10:32:04
3,6,30,36,5 Pawling Way,53-(524)796-4486,2015-07-25 10:16:00
4,12,95,18,877 Pankratz Center,86-(189)225-7297,2016-01-25 14:46:40
5,15,61,67,40 Ruskin Plaza,55-(241)150-0648,2015-09-21 20:02:05
6,45,47,18,000 Walton Park,63-(701)633-8013,2015-10-12 11:10:59
7,12,12,86,20 Charing Cross Park,375-(471)383-9008,2015-09-16 22:24:00
8,48,50,1,3003 Pleasure Center,420-(807)321-0666,2015-12-18 22:01:36
9,8,67,90,041 Randy Way,86-(927)344-5231,2015-11-16 22:28:35
10,37,39,26,61709 Heffernan Way,63-(317)595-6791,2015-10-05 17:22:07
11,29,37,86,47050 Helena Terrace,86-(882)714-2327,2015-09-23 09:21:31
12,33,61,30,472 Talmadge Junction,56-(345)247-2067,2015-09-12 23:10:59
13,10,15,38,102 Dovetail Crossing,62-(220)501-1355,2015-10-21 10:05:38
14,20,58,99,55059 Claremont Street,84-(134)705-3050,2016-01-01 14:08:22
15,42,52,94,9 Stang Circle,970-(940)335-8930,2016-03-15 10:55:32
16,20,5,86,52931 Waxwing Alley,355-(814)505-6861,2015-08-16 11:49:25
17,30,34,12,228 Carpenter Hill,7-(497)672-5975,2016-01-09 08:24:10
18,3,85,76,8 Dennis Point,504-(777)124-4983,2015-12-15 12:47:45
19,8,79,5,19519 Amoth Park,972-(395)418-2723,2015-11-21 01:42:38
20,36,52,1,740 Vera Place,55-(501)259-6158,2015-04-10 18:29:42
21,14,4,97,9039 Anzinger Junction,1-(168)223-0019,2015-06-21 23:46:55
22,36,6,53,09 Ridge Oak Center,977-(698)337-0354,2016-01-24 15:11:05
23,44,66,22,58 Northport Crossing,66-(199)132-1751,2015-06-01 17:16:37
24,48,91,9,168 Sunbrook Street,57-(899)440-9984,2016-01-12 01:32:35
